"","orig.ident","0","1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","25","3","4","5","6","7","8","9"
"1","R1744short",679,431,88,106,96,59,23,2,16,28,8,5,278,9,11,2,1,NA,NA,352,262,99,195,260,140,124
"2","R1778long",1420,606,164,139,69,7,66,31,57,45,13,11,52,18,18,10,1,1,2,315,341,519,122,57,74,150
"3","R1778short",1396,594,166,143,71,8,73,37,57,49,13,11,75,19,19,10,1,1,2,321,386,505,132,60,75,147
"4","R1798long",1332,448,121,135,71,4,64,61,36,37,18,8,73,14,11,2,9,2,2,327,245,450,112,56,68,109
"5","R1798short",1315,435,122,139,73,3,67,66,38,40,18,8,87,14,10,2,9,2,NA,335,288,442,118,51,71,106
"6","R1855long",765,606,411,112,38,44,72,60,35,30,15,5,267,13,5,2,7,6,2,620,139,164,168,119,184,153
"7","R1855short",737,622,413,115,40,42,76,62,36,31,18,4,254,14,7,2,7,6,2,619,155,181,163,120,187,153
"8","R1858long",646,589,314,99,32,64,47,62,39,20,18,9,332,13,10,3,3,1,2,424,106,199,118,158,149,111
"9","R1858short",632,591,314,103,35,64,47,64,43,17,19,9,318,13,9,3,3,1,1,429,120,211,127,152,148,117
"10","R2002short",676,529,21,132,81,44,14,73,25,61,10,53,451,17,NA,43,2,5,1,380,242,290,104,95,427,90
"11","R2015short",564,445,16,120,60,32,12,14,9,57,9,36,198,9,1,45,1,2,1,325,236,140,135,66,238,57
"12","R2024short",376,338,17,121,66,20,49,11,29,41,20,8,382,5,2,NA,6,NA,NA,279,340,161,94,37,130,113
"13","R2033short",612,445,13,131,101,18,42,9,78,54,45,14,452,3,4,NA,NA,NA,4,254,442,179,160,55,169,153
"14","R2148short",468,266,131,77,200,131,169,12,63,46,24,6,566,12,8,1,5,3,NA,227,172,206,148,176,58,227
"15","R2175short",686,443,221,104,140,86,476,14,61,32,20,3,565,18,5,NA,7,8,NA,492,340,263,186,227,242,205
"16","R2183short",687,470,197,100,114,73,443,15,46,24,10,8,484,24,3,NA,5,4,NA,369,353,186,192,196,172,172
"17","R2225short",560,572,90,152,49,43,115,21,44,28,30,12,612,11,59,19,5,1,3,209,481,130,285,80,153,251
"18","R2227short",636,430,75,133,101,32,131,74,57,37,34,27,627,13,12,6,4,NA,1,289,188,297,186,113,241,246
"19","R2258short",725,570,138,111,147,58,30,11,32,23,9,3,502,7,12,NA,1,4,NA,601,336,123,272,308,175,201
"20","R2339short",495,337,107,101,210,137,111,16,49,46,10,6,349,8,10,17,1,NA,NA,115,239,177,153,256,70,116
"21","R4511long",906,551,72,107,92,223,91,76,79,114,14,22,351,16,4,4,2,2,NA,482,329,171,245,254,181,240
"22","R4531long",926,470,53,112,111,201,85,65,117,74,23,20,453,15,3,6,2,2,1,510,318,126,278,220,154,259
"23","R6016long",711,691,136,174,112,64,102,65,39,68,8,30,499,5,9,9,1,NA,2,404,375,204,475,114,123,187
"24","R6026long",765,244,411,96,104,243,84,120,71,38,25,23,460,5,5,3,6,NA,4,288,218,303,185,515,221,123
"25","R6088long",479,518,104,134,81,52,73,28,26,46,8,17,385,10,10,3,3,2,1,443,289,149,361,67,82,157
"26","R6098long",641,220,457,69,82,198,89,95,80,29,28,10,652,13,10,2,8,NA,2,333,224,372,165,424,195,128
"27","R7120long",577,625,73,66,78,118,32,47,39,29,22,16,477,7,9,3,9,3,1,297,417,203,256,152,86,232
"28","R7120short",542,647,78,68,85,124,36,56,44,27,27,17,485,7,6,3,9,3,NA,310,446,234,268,150,96,258
"29","R7317long",1203,213,151,73,26,5,47,2,24,41,9,NA,195,7,18,5,2,NA,NA,59,160,53,140,309,212,22
"30","R7317short",1223,170,147,81,29,4,44,1,22,41,10,NA,193,8,18,4,2,NA,NA,57,163,54,136,279,225,21
"31","R7327long",1109,184,103,72,13,7,29,NA,9,26,7,NA,56,7,18,10,NA,1,NA,56,138,9,80,339,141,11
"32","R7327short",1106,172,100,79,18,7,34,NA,9,26,7,NA,58,8,13,7,NA,2,NA,58,151,7,87,332,152,10
"33","R7385long",662,483,60,78,98,115,24,57,63,30,27,10,467,9,3,1,6,2,1,315,280,210,135,160,113,180
"34","R7385short",629,498,63,77,107,116,27,59,64,30,27,9,463,9,2,1,6,2,1,329,308,242,140,163,118,191
"35","R7472long",668,338,72,104,175,184,54,56,60,70,16,16,837,14,4,10,10,4,6,470,152,259,231,191,344,162
"36","R7472short",666,327,78,99,181,186,56,58,63,65,16,16,830,14,3,9,10,4,6,481,167,262,233,191,342,164
"37","R7513long",1051,589,91,156,204,331,64,153,64,53,15,50,819,22,8,24,11,4,8,547,295,276,373,236,461,172
"38","R7513short",1024,593,88,154,205,330,62,157,64,53,15,51,813,23,6,23,11,4,8,577,315,291,385,245,469,172
