"","orig.ident","0","1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","25","26","27","28","29","3","4","5","6","7","8","9"
"1","R1744short",657,617,111,87,63,29,92,25,29,17,13,NA,361,13,2,17,6,1,5,NA,2,1,6,351,149,273,184,105,127,51
"2","R1778long",1394,848,168,124,8,154,71,79,50,54,34,15,546,11,38,34,11,3,24,3,2,2,2,369,80,65,116,199,118,103
"3","R1778short",1362,892,166,125,9,190,73,81,47,55,33,12,513,12,37,37,11,3,24,3,2,2,2,376,78,65,114,200,119,101
"4","R1798long",1317,629,149,89,5,90,75,85,45,40,26,25,540,12,6,22,12,1,12,5,8,10,2,381,77,57,107,158,94,70
"5","R1798short",1297,650,154,88,5,111,74,86,44,41,25,23,524,13,7,25,12,1,12,4,8,10,2,385,80,55,108,153,91,73
"6","R1855long",765,632,120,117,48,120,39,74,42,36,15,39,402,12,13,10,5,4,12,10,14,7,1,622,188,118,141,453,157,137
"7","R1855short",745,650,117,117,47,150,39,79,44,37,15,41,370,12,13,12,5,4,12,10,14,7,2,619,189,123,134,450,157,147
"8","R1858long",641,603,106,91,67,84,33,48,29,38,17,44,524,19,25,11,13,2,12,2,8,4,5,430,151,158,101,338,118,54
"9","R1858short",643,608,106,97,66,113,34,46,29,38,17,47,492,17,25,11,13,1,12,2,8,4,5,428,151,156,103,334,120,53
"10","R2002short",671,663,140,112,55,146,83,16,63,28,142,51,666,9,230,1,11,4,19,14,2,3,5,394,443,97,123,31,92,70
"11","R2015short",567,607,134,88,36,95,56,13,79,10,89,10,275,4,141,NA,8,8,6,6,1,1,3,319,257,66,144,22,56,55
"12","R2024short",376,668,130,138,51,71,87,98,44,29,19,13,738,12,NA,4,20,2,9,2,1,6,1,344,162,44,140,30,130,51
"13","R2033short",644,950,150,132,40,88,138,129,67,81,43,9,867,85,NA,9,42,10,7,6,3,NA,2,375,222,68,265,60,186,220
"14","R2148short",450,413,93,53,173,76,218,257,77,60,23,8,797,17,NA,10,21,6,14,7,6,5,NA,224,70,201,161,179,242,68
"15","R2175short",715,694,109,100,114,168,150,561,34,55,18,6,768,21,NA,3,17,15,13,16,3,7,9,549,266,248,199,242,180,136
"16","R2183short",702,713,118,121,100,107,134,525,26,38,21,6,631,18,NA,4,10,11,20,10,2,6,10,408,194,218,189,226,162,106
"17","R2225short",554,814,166,215,47,64,50,124,30,50,34,18,715,13,80,85,29,4,8,4,4,5,5,211,152,85,260,121,235,64
"18","R2227short",634,487,136,118,34,135,96,132,41,62,69,46,852,8,20,19,29,4,7,5,7,4,9,288,245,118,168,103,233,24
"19","R2258short",713,802,120,113,68,33,145,27,21,31,9,7,614,12,NA,23,9,2,6,7,NA,2,2,624,186,322,260,162,208,42
"20","R2339short",483,538,117,68,202,88,220,175,48,48,22,16,560,11,36,16,10,5,6,NA,NA,2,4,123,81,284,169,143,119,56
"21","R4511long",909,708,115,173,234,67,95,96,120,74,49,53,507,8,7,7,5,3,26,4,9,2,NA,487,194,261,243,99,219,37
"22","R4531long",932,701,122,134,244,49,121,112,82,110,68,49,583,14,6,4,15,3,19,14,10,2,2,556,174,236,306,99,256,69
"23","R6016long",738,900,174,152,81,112,125,123,74,39,76,50,628,10,38,19,8,1,5,2,NA,1,1,418,126,118,523,190,185,56
"24","R6026long",769,410,101,61,259,141,105,87,39,70,59,91,693,6,6,8,12,4,7,4,13,6,1,298,228,529,190,433,115,41
"25","R6088long",481,652,140,142,59,80,92,77,67,26,52,20,490,9,19,20,6,2,9,5,2,3,2,434,82,66,359,151,147,42
"26","R6098long",639,398,73,60,209,147,87,88,31,74,42,70,955,26,8,15,17,4,7,1,12,8,7,347,211,444,159,493,112,50
"27","R7120long",564,894,80,214,171,113,103,45,33,40,36,44,721,16,5,10,15,1,7,6,18,9,3,335,123,172,277,119,295,65
"28","R7120short",555,913,79,213,171,135,102,45,32,41,36,45,693,17,5,11,15,2,7,6,18,9,4,336,125,171,287,108,294,65
"29","R7317long",1186,365,88,47,8,14,42,64,46,25,5,3,279,171,11,34,16,54,6,1,NA,2,4,66,298,348,151,191,23,254
"30","R7317short",1236,331,92,32,4,21,38,66,45,22,2,3,257,97,5,35,13,28,5,2,NA,2,4,64,290,313,144,186,23,209
"31","R7327long",1114,326,95,54,12,3,23,40,30,11,1,NA,78,140,51,28,9,118,5,5,NA,NA,5,73,206,365,87,153,10,816
"32","R7327short",1074,283,86,49,14,3,24,39,31,9,1,NA,73,136,51,33,8,112,4,3,NA,NA,7,65,189,364,97,131,10,816
"33","R7385long",640,677,84,146,158,95,116,35,33,66,33,44,692,10,3,6,18,3,3,3,11,7,7,356,155,181,175,90,217,46
"34","R7385short",631,686,91,136,157,119,119,37,30,66,33,45,669,10,3,8,18,4,3,3,11,7,7,364,152,178,185,87,215,50
"35","R7472long",670,394,115,89,192,134,179,56,64,59,40,39,1030,27,19,7,12,7,13,13,4,10,12,497,339,191,191,118,155,86
"36","R7472short",657,401,109,93,190,161,180,58,66,60,40,38,1001,25,20,8,12,8,13,14,4,10,12,498,340,199,198,114,151,89
"37","R7513long",1000,711,200,162,341,179,205,67,64,53,104,121,1020,14,41,12,13,13,12,29,2,11,13,553,439,249,348,145,148,203
"38","R7513short",995,715,199,157,340,235,206,64,66,54,105,121,980,14,41,13,13,11,12,31,2,11,13,579,446,262,352,144,147,199
